职位	薪资	工作经验	学历要求
前端技术专家（某移动开发者平台）	6-8万/月	1年经验	本科
高级基金分析师	1.5-2.5万/月	3-4年经验	硕士
C++高级开发工程师	1.5-2万/月	2年经验	本科
IBM Tivoli工程师(昆仑银行驻场）	1-1.4万/月	3-4年经验	大专
digital marketing/数据分析	1-1.5万/月	1年经验	本科
Linux系统工程师	1-1.5万/月	1年经验	本科
游戏测试工程师（产品专员）	5-7千/月	1年经验	大专
Java高级开发工程师	1-1.5万/月	1年经验	大专
嵌入式软件测试工程师	1-1.5万/月	3-4年经验	本科
内审风控数据分析师	1.5-2万/月	3-4年经验	本科
运维经理	1-1.5万/月	5-7年经验	大专
高级CAE算法工程师	1.5-2万/月	2年经验	硕士
医学影像应用算法研究员	2-3万/月	在校生/应届生	博士
Senior Data Scientist Lead APAC	3.3-4.8万/月	10年以上经验	本科
Mgr/Sr Mgr,Principal Statistical Analys,Onco	2.5-4万/月	5-7年经验	硕士
Testing Developer（性能测试）	1.5-2万/月	5-7年经验	本科
数据统计员	6-8万/年	2年经验	大专
期权投资-程序化开发	0.7-1.2万/月	无需经验	本科
嵌入式软件工程师	1.5-2.8万/月	3-4年经验	本科
软件开发工程师/算法工程师	1.5-2万/月	3-4年经验	本科
软件测试工程师	0.7-1.5万/月	3-4年经验	大专
ETL资深开发岗	1-1.5万/月	3-4年经验	本科
高级GNSS算法工程师	2-3万/月	1年经验	硕士
软件测试工程师	1-1.5万/月	2年经验	本科
产品测试工程师(J10117)	1-1.5万/月	2年经验	本科
数据挖掘分析师	2.5-3万/月	5-7年经验	本科
FPGA算法工程师	1.5-2.5万/月	3-4年经验	本科
ADAS测试项目经理	2.5-3万/月	2年经验	硕士
系统运维中级工程师	1-2万/月	2年经验	本科
人工智能助理算法工程师	0.8-1.5万/月	在校生/应届生	本科
WEB后端工程师	2-2.5万/月	5-7年经验	本科
渗透测试工程师	1-1.5万/月	3-4年经验	大专
IT审计师	1.5-2.5万/月	3-4年经验	本科
实习数据挖掘工程师助理	4.5-6千/月	在校生/应届生	大专
基础架构高级运维工程师	2-2.5万/月	5-7年经验	本科
业务技术研究工程师（数据算法方向）	2-2.5万/月	3-4年经验	硕士
手游客户端开发工程师	20-40万/年	2年经验	本科
网络信息安全攻防工程师-信息安全部	1-1.5万/月	1年经验	本科
软件架构师 (MJ001998)	1.5-1.8万/月	5-7年经验	本科
大数据开发工程师	2-4万/月	3-4年经验	本科
数据分析专员	0.6-1.2万/月	3-4年经验	本科
11312R-数据挖掘工程师（医疗方向）	2-2.5万/月	3-4年经验	硕士
LTE解决方案测试工程师	1-1.5万/月	2年经验	本科
业务分析/需求工程师	1-1.5万/月	在校生/应届生	硕士
2021 Campus Hire - Big Data Engineer 大数据工程师	7-9千/月	在校生/应届生	本科
业务系统支持工程师	1.5-2万/月	3-4年经验	本科
客户综合业务分析岗	1.5-2.5万/月	1年经验	本科
总公司信息技术部数据应用工程师(007660)	2-2.5万/月	5-7年经验	本科
